date,bases,open_access_bases,bytes,open_access_bytes
"03/05/2016",4703232032827386,2812666817858945,2915747223023079,1839667968648602
"03/06/2016",4703958700238177,2813281615960282,2916125935894615,1840016821733458
"03/07/2016",4707028763762807,2816122291974247,2917758790636425,1841590280686722
"03/08/2016",4709289658033820,2818383186245260,2921135421822321,1844966911872618
"03/09/2016",4715821713860749,2824915242072189,2925436783528233,1849268273578530
"03/10/2016",4716889208498899,2825982736710339,2926134784080798,1849966274131095
"03/11/2016",4732599096162620,2837363757433609,2934846015561437,1856482166362602
"03/12/2016",4734898399716378,2838890003812295,2935924166420014,1857370335704378
"03/13/2016",4735458926137926,2839071211309889,2936117368022419,1857468707980902
"03/14/2016",4738363517922389,2841505527178916,2937775039793136,1859003877742863
"03/15/2016",4741822538222489,2844675375643215,2939917436343220,1860977112508545
"03/16/2016",4746631350262376,2846753810565483,2942419721562502,1862195391239573
"03/17/2016",4751918822505004,2851081427966531,2945087792416791,1864618974032272
"03/18/2016",4754867538877736,2853781934418453,2946790859857632,1866257820435425
"03/19/2016",4755429452083365,2854343847624082,2947112708763575,1866579669341368
"03/20/2016",4756099415719548,2855008439625159,2947528895743602,1866993446003071
"03/21/2016",4758428576176392,2857337600082003,2948871506265251,1868336056524720
"03/22/2016",4761587760616084,2860496784521695,2950810287417230,1870274837676699
"03/23/2016",4762939218279278,2861848242184889,2951627261842871,1871091812102340
"03/24/2016",4764817557988596,2863726581894207,2952635619609665,1872100169869134
"03/25/2016",4788009471229472,2866149943888109,2965447899249944,1873612288460539
"03/26/2016",4794924231769920,2873064704428557,2968263340925137,1876427730135732
"03/27/2016",4795200187803023,2873340660461660,2968454499023015,1876618888233610
"03/28/2016",4798363381635901,2876503854294538,2970423235393019,1878587624603614
"03/29/2016",4808681986273955,2886822458932592,2977219081091834,1885383470302429
"03/30/2016",4810381185131787,2888351855084086,2978203355868496,1886281295494425
"03/31/2016",4817256285617817,2891154742661116,2981926830903710,1887907828018034
"04/01/2016",4823680823004874,2893905285105773,2985261479324587,1889544276529407
"04/02/2016",4839161502073637,2909385964174536,2990389037067009,1894671834271829
"04/03/2016",4840214881882341,2910439343983240,2990953290425336,1895236087630156
"04/04/2016",4840728095495087,2910936741640264,2991274322674176,1895549294185181
"04/05/2016",4842419941877546,2912423420388888,2992260682180793,1896465104967375
"04/06/2016",4852721600522563,2913660304412296,2996946021266059,1897086334417328
"04/07/2016",4855854153810325,2916792857700058,2998707352544697,1898847665695966
"04/08/2016",4860810089062466,2921748792952199,3001655891651136,1901796204802405
"04/09/2016",4886603960930204,2947026369304915,3014698194581569,1914600789085311
"04/10/2016",4888877575748076,2949299984122787,3015967584403880,1915870178907622
"04/11/2016",4896994129808373,2949932123584143,3020352251479000,1916238792287176
"04/12/2016",4930990293188603,2951242791774039,3036000379004331,1917039425168240
"04/13/2016",4969909506179272,2978219887768695,3054309805642528,1930562881528306
"04/14/2016",4974518511683747,2979803187106392,3057196104161100,1931470865808494
"04/15/2016",4983543685742666,2982975867081309,3062174323898296,1933980201032681
"04/16/2016",4987903957294621,2984893600394306,3064417007998489,1935169771637416
"04/17/2016",4989415848454112,2986405491553797,3065269068358933,1936021831997860
"04/18/2016",4991481564837819,2988461292474492,3066615227798180,1937365000062571
"04/19/2016",4997073692988808,2991403682874497,3069601009494754,1939145232701937
"04/20/2016",4999843816202625,2994140878584277,3071388363651829,1940922476648936
"04/21/2016",5002715712308637,2996640276986567,3073002511158114,1942355156999922
"04/22/2016",5003771372043101,2997631200919715,3073590416812680,1942915704992192
"04/23/2016",5005905863134896,2998765976166630,3074725328507010,1943612228185698
"04/24/2016",5008010911282676,2999833640651306,3075725247835105,1944128660136663
"04/25/2016",5012937277128642,3004175479648764,3078813429735047,1946948952485611
"04/26/2016",5016023286871626,3007261489391748,3080579901094738,1948715423845302
"04/27/2016",5022661719841128,3012067576386646,3083083674708693,1950761237448172
"04/28/2016",5024092311640242,3013470562279573,3083890889263397,1951560440669551
"04/29/2016",5025012584330153,3014390834969484,3084418977456943,1952088528863097
"04/30/2016",5027657830301346,3017036080940677,3085852273028732,1953521824434886
"05/01/2016",5033120524757571,3022498775396902,3089549913698033,1957219465104187
"05/02/2016",5036682086877332,3026060337516663,3091698726533458,1959368277939612
"05/03/2016",5041868792060827,3028844650189832,3094442326792887,1960972764522152
"05/04/2016",5071614215145675,3043228871522771,3111560166504099,1970454529936227
"05/05/2016",5080592548941083,3047323897502830,3116236987735120,1973182063715081
"05/06/2016",5086192319723129,3052915071253288,3119955330893653,1976897335236650
"05/07/2016",5087264922560547,3053987674090706,3120497743207856,1977439747550853
"05/08/2016",5087713192625460,3054427721512547,3120763144781124,1977700920032167
"05/09/2016",5090678351903446,3057392880790533,3122387932238089,1979325707489132
"05/10/2016",5097713679674055,3064372814904054,3127691716076017,1984599724469953
"05/11/2016",5117747136241868,3081051998787990,3136143204866224,1991202868867916
"05/12/2016",5122752151414284,3084526244829230,3138971222486451,1993210340812898
"05/13/2016",5126367342735910,3088141436150856,3140977124053039,1995216242379486
"05/14/2016",5129183463982236,3090882449122802,3142655456112671,1996859058174445
"05/15/2016",5133880021878581,3094126234537171,3144974332348542,1998859350842062
"05/16/2016",5141515008481466,3096867425794036,3150525003379077,2000654674526633
"05/17/2016",5148227747877716,3101085663980671,3154587213391359,2003248610555882
"05/18/2016",5154433293210329,3107291209313284,3158073851111598,2006735248276121
"05/19/2016",5160675834997079,3110241945430270,3163679203931272,2010172946411025
"05/20/2016",5163872075579406,3112944034725683,3165617086142138,2011886886524255
"05/21/2016",5164641306513634,3113713265659911,3166184128959066,2012453929341183
"05/22/2016",5165605427158814,3114677386305091,3166813099744913,2013082900127030
"05/23/2016",5185982534662180,3115771815651339,3176045822670535,2013740315511503
"05/24/2016",5200320021905053,3129716079844218,3185834082436358,2023336123156689
"05/25/2016",5211150896410894,3140546954350059,3189877837961867,2027379878682198
"05/26/2016",5222110632380649,3149882401470518,3195403862768856,2032201967869230
"05/27/2016",5223938725320074,3151326841395736,3196553390192440,2033143474192105
"05/28/2016",5225288399656118,3152023584179185,3197402508998898,2033499043482038
"05/29/2016",5227005067968778,3152974664878425,3198597938082028,2034099174942430
"05/30/2016",5228981848248859,3154951445158506,3199849858453539,2035351095313941
"05/31/2016",5231227497843481,3157197094753128,3201259821075527,2036761057935929
"06/01/2016",5243400194627691,3169369791537338,3208108750590081,2043609987450483
"06/02/2016",5252057975592590,3178027572502237,3211840755427294,2047341992287696
"06/03/2016",5257366161076207,3183335757985854,3214867882976502,2050369119836904
"06/04/2016",5259045783671190,3185015380580837,3215931074150873,2051432311011275
"06/05/2016",5260084903565029,3186054500474676,3216936936617646,2052438173478048
"06/06/2016",5262713039619869,3187903950135798,3218403927384148,2053582644243440
"06/07/2016",5264417370521284,3189509471930019,3219375942880500,2054513225548833
"06/08/2016",5274059871269314,3194115114624115,3223983862619559,2056554698271632
"06/09/2016",5276438918865291,3196492246839972,3225297635058100,2057867147087403
"06/10/2016",5284852802953146,3198999071818719,3229700407474181,2059495577779383
"06/11/2016",5287617933975394,3201764202840967,3233106923996895,2062902094302097
"06/12/2016",5288726638580523,3202872907446096,3233657787438011,2063452957743213
"06/13/2016",5291763488250838,3205909757116411,3235688093489034,2065483263794236
"06/14/2016",5299692926034463,3207549550083120,3239427693924971,2066534597948709
"06/15/2016",5315583617171219,3221052038744676,3245514410807797,2071060747858880
"06/16/2016",5318198920152132,3223667341725589,3247416209786897,2072962546837980
"06/17/2016",5320175992609246,3225644414182703,3248694932453967,2074241269505050
"06/18/2016",5325504335158549,3230972756732006,3252010583734950,2077556920786033
"06/19/2016",5326072808860215,3231541230433672,3252270494989332,2077816832040415
"06/20/2016",5327512768704207,3232981190277664,3253058885955226,2078605223006309
"06/21/2016",5332026054060040,3234401688286887,3255517575172458,2079496859024011
"06/22/2016",5334453090301553,3236828724528400,3256866394301962,2080845678153515
"06/23/2016",5371533001903189,3273908636130036,3276173404308084,2100152688159637
"06/24/2016",5372452450711594,3274828084938441,3276786224900598,2100765508752151
"06/25/2016",5373933207788097,3276308842014944,3277753399171966,2101732683023519
"06/26/2016",5378798659255709,3281174293482556,3280801280093216,2104780563944769
"06/27/2016",5383384698523509,3285737390489256,3283819322132116,2107788243553878
"06/28/2016",5389801114593040,3292153806558787,3288040165857705,2112009087279467
"06/29/2016",5392900109609027,3295252801574774,3290002393761114,2113971315182876
"06/30/2016",5400362491220588,3302715183186335,3293562632320025,2117531553741787
"07/01/2016",5410415563610711,3312768255576458,3300083850046327,2124052771468089
"07/02/2016",5412451222745188,3314803914710935,3301466760819731,2125435682241493
"07/03/2016",5413823100449755,3316175792415502,3302453009898843,2126421931320605
"07/04/2016",5415065382445062,3317418074410809,3303245662625381,2127214584047143
"07/05/2016",5420326762923710,3322679454889457,3306298925011524,2130267846433286
"07/06/2016",5424390108315645,3326742800281392,3309017748746873,2132986670168635
"07/07/2016",5427243808092549,3329596500058296,3310535681680867,2134504603102629
"07/08/2016",5438906657728055,3332538193916860,3317187488961587,2136373404487291
"07/09/2016",5441936038100797,3333518173944972,3318816892110710,2136868575310782
"07/10/2016",5444815904760453,3336398040604628,3321030578901870,2139082262101942
"07/11/2016",5452678731131796,3338727790802883,3324919621554198,2140090689466004
"07/12/2016",5467703666509820,3343725336092683,3332888227867240,2142809381512221
"07/13/2016",5482043057368961,3349488969675732,3340468545222985,2146130733142046
"07/14/2016",5491000480221754,3355381609465933,3345940456966868,2150075082105513
"07/15/2016",5496759730151832,3361108700420319,3349618210402415,2153735194681666
"07/16/2016",5500849715404347,3365198685672834,3353430785829352,2157547770108603
"07/17/2016",5503738227610539,3367333228072926,3355830675375582,2159339338317807
"07/18/2016",5512537113986881,3373504861177556,3360657630477505,2162947747781933
"07/19/2016",5514012002968259,3374979750158934,3361600537622633,2163890654927061
"07/20/2016",5522183844086826,3382736561180271,3366289213906149,2168237621602808
"07/21/2016",5524286214743658,3384838931837103,3367558527878962,2169506935575621
"07/22/2016",5527152458550223,3387705175643668,3369310716629068,2171259124325727
"07/23/2016",5530177029712660,3390439083109153,3371005773223185,2172810292158247
"07/24/2016",5532919108164951,3393181161561444,3372421697456009,2174226216391071
"07/25/2016",5535705301166514,3395967354563007,3375035031987259,2176839550922321
"07/26/2016",5539194833609041,3399439522665342,3377439681710988,2179235109443299
"07/27/2016",5543193840554691,3403132494192998,3382505031243745,2184139772897470
"07/28/2016",5570064021961902,3410265984457049,3394404932801620,2188499374345395
